,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
102,What is the maximum number of days that can pass between the last sitting of one session and the first sitting of the next session of the National Assembly?,Not more than one hundred and twenty days shall intervene between the last sitting of the Assembly in one session and the date appointed for its first sitting in the next session.,57,"(26, 27)","(27,)","(27, 28)","(27, 28, 37)","(27, 28, 37, 26)","(27, 28, 37, 26, 25)"
103,How are decisions made in the National Assembly?,"All decisions of the National Assembly are taken by a majority of the members present and voting, but the person presiding does not vote except in the case of a tie.",58,"(27, 27)","(40,)","(40, 27)","(40, 27, 128)","(40, 27, 128, 95)","(40, 27, 128, 95, 28)"
104,What happens if less than one-fourth of the total membership is present during a National Assembly meeting?,"If less than one-fourth of the total membership is present, the person presiding must either adjourn the Assembly or suspend the meeting until at least one-fourth of the members are present.",58,"(27, 27)","(27,)","(27, 50)","(27, 50, 95)","(27, 50, 95, 25)","(27, 50, 95, 25, 21)"
105,When is the President required to address both Houses of Parliament together?,The President is required to address both Houses of Parliament together at the commencement of the first session after each general election to the National Assembly and at the commencement of the first session of each year.,59,"(27, 28)","(27,)","(27, 28)","(27, 28, 159)","(27, 28, 159, 38)","(27, 28, 159, 38, 23)"
106,What can the President do if he wants to communicate with either House regarding a Bill or other matters?,"The President may send messages to either House, and the House receiving the message must consider the matter with all convenient despatch.",59,"(27, 28)","(39,)","(39, 40)","(39, 40, 49)","(39, 40, 49, 143)","(39, 40, 49, 143, 42)"
107,Who has the right to speak and participate in the proceedings of either House or any committee in the Parliament?,"The Prime Minister, a Federal Minister, a Minister of State, and the Attorney General have the right to speak and participate in the proceedings of either House or any committee in the Parliament.",60,"(28, 28)","(38,)","(38, 28)","(38, 28, 37)","(38, 28, 37, 39)","(38, 28, 37, 39, 21)"
108,Are the Prime Minister and other officials mentioned entitled to vote in the proceedings of the Parliament by virtue of this Article?,"No, they are not entitled to vote by virtue of this Article.",60,"(28, 28)","(28,)","(28, 51)","(28, 51, 52)","(28, 51, 52, 132)","(28, 51, 52, 132, 172)"
109,Under what condition is the President required to dissolve the National Assembly?,"The President is required to dissolve the National Assembly if advised by the Prime Minister, and it will stand dissolved forty-eight hours after the Prime Minister has given such advice unless it is dissolved sooner.",61,"(28, 28)","(28,)","(28, 23)","(28, 23, 138)","(28, 23, 138, 22)","(28, 23, 138, 22, 51)"
110,Can the President dissolve the National Assembly on his own discretion?,"Yes, the President can dissolve the National Assembly on his own discretion if a vote of no-confidence has been passed against the Prime Minister and no other member commands the confidence of the majority of the National Assembly members.",61,"(28, 28)","(28,)","(28, 23)","(28, 23, 22)","(28, 23, 22, 51)","(28, 23, 22, 51, 48)"
111,How many members does the Senate have?,The Senate consists of ninety-six members.,62,"(29, 30)","(29,)","(29, 168)","(29, 168, 31)","(29, 168, 31, 130)","(29, 168, 31, 130, 95)"
112,How are the women members of the Senate elected?,Four women are elected by the members of each Provincial Assembly.,62,"(29, 30)","(29,)","(29, 31)","(29, 31, 30)","(29, 31, 30, 130)","(29, 31, 30, 130, 168)"
113,What is the term length for members of the Senate?,The term of the members of the Senate is six years.,62,"(29, 30)","(31,)","(31, 29)","(31, 29, 168)","(31, 29, 168, 169)","(31, 29, 168, 169, 30)"
114,When does the Senate elect a new Chairman or Deputy Chairman?,The Senate elects a new Chairman or Deputy Chairman at its first meeting after being duly constituted and whenever the office of Chairman or Deputy Chairman becomes vacant.,63,"(30, 31)","(31,)","(31, 30)","(31, 30, 150)","(31, 30, 150, 45)","(31, 30, 150, 45, 156)"
115,How long is the term for the Chairman or Deputy Chairman of the Senate?,The term of office for the Chairman or Deputy Chairman of the Senate is three years from the day they enter upon their office.,63,"(30, 31)","(31,)","(31, 30)","(31, 30, 150)","(31, 30, 150, 153)","(31, 30, 150, 153, 45)"
116,Do the rules for the National Assembly also apply to the Senate?,"Yes, the rules for the National Assembly also apply to the Senate with certain modifications.",64,"(31, 31)","(168,)","(168, 40)","(168, 40, 31)","(168, 40, 31, 47)","(168, 40, 31, 47, 43)"
117,Who are the equivalents of the Speaker and Deputy Speaker in the Senate?,The equivalents of the Speaker and Deputy Speaker in the Senate are the Senate Chairman and Deputy Chairman.,64,"(31, 31)","(31,)","(31, 150)","(31, 150, 40)","(31, 150, 40, 45)","(31, 150, 40, 45, 41)"
118,What is the minimum age requirement for a person to be elected to the National Assembly in Pakistan?,The minimum age requirement for a person to be elected to the National Assembly in Pakistan is twenty-five years.,65,"(31, 32)","(31,)","(31, 19)","(31, 19, 23)","(31, 19, 23, 58)","(31, 19, 23, 58, 55)"
119,What is one of the character requirements for a person to be eligible for membership in the Majlis-e-Shoora (Parliament)?,One of the character requirements is that the person must be of good character and not commonly known as one who violates Islamic Injunctions.,65,"(31, 32)","(32,)","(32, 31)","(32, 31, 23)","(32, 31, 23, 134)","(32, 31, 23, 134, 128)"
120,Are the disqualifications related to Islamic teachings applicable to non-Muslims seeking membership in the Majlis-e-Shoora (Parliament)?,"No, the disqualifications related to Islamic teachings do not apply to non-Muslims, but such a person must have a good moral reputation.",65,"(31, 32)","(32,)","(32, 134)","(32, 134, 156)","(32, 134, 156, 135)","(32, 134, 156, 135, 31)"
121,Can someone who has been declared mentally unfit by a court become a member of the Parliament?,"No, a person who has been declared of unsound mind by a competent court is disqualified from being elected or chosen as a member of the Parliament.",66,"(32, 35)","(32,)","(32, 35)","(32, 35, 23)","(32, 35, 23, 36)","(32, 35, 23, 36, 37)"
122,Is a person who has acquired foreign citizenship eligible to be a member of the Parliament?,"No, a person who acquires the citizenship of a foreign State is disqualified from being a member of the Parliament.",66,"(32, 35)","(32,)","(32, 31)","(32, 31, 23)","(32, 31, 23, 134)","(32, 31, 23, 134, 153)"
123,What happens if a member of the Parliament is found to have defaulted on a significant loan or utility payments?,"If a member or their spouse or dependents have defaulted on a loan of two million rupees or more, or on government dues and utility expenses exceeding ten thousand rupees for over six months, they are disqualified from being a member of the Parliament.",66,"(32, 35)","(35,)","(35, 154)","(35, 154, 62)","(35, 154, 62, 45)","(35, 154, 62, 45, 43)"
124,What happens if a member of a political party votes against their party's direction in important matters like the election of the Prime Minister?,"If a member votes against their party's direction in important matters like the election of the Prime Minister, they may be declared by the Party Head to have defected from the political party, and this declaration can be forwarded to the Presiding Officer and the Chief Election Commissioner.",67,"(35, 37)","(35,)","(35, 50)","(35, 50, 131)","(35, 50, 131, 130)","(35, 50, 131, 130, 51)"
125,What must the Party Head do before declaring a member as defected from the party?,"Before declaring a member as defected from the party, the Party Head must provide the member with an opportunity to show cause as to why such a declaration should not be made against them.",67,"(35, 37)","(36,)","(36, 35)","(36, 35, 37)","(36, 35, 37, 58)","(36, 35, 37, 58, 167)"
126,What can a member do if they are unhappy with the Election Commission's decision confirming their defection?,"If a member is unhappy with the Election Commission's decision confirming their defection, they can appeal to the Supreme Court within thirty days, and the Supreme Court must decide the matter within ninety days from the date of the filing of the appeal.",67,"(35, 37)","(128,)","(128, 30)","(128, 30, 36)","(128, 30, 36, 35)","(128, 30, 36, 35, 129)"
127,How can a member of the Parliament resign from their position?,"A member of the Parliament can resign by writing under their hand addressed to the Speaker or the Chairman, and their seat will become vacant upon resignation.",68,"(37, 37)","(35,)","(35, 134)","(35, 134, 37)","(35, 134, 37, 150)","(35, 134, 37, 150, 31)"
128,What happens if a member of the House is absent for forty consecutive days without permission?,The House may declare the seat of the member vacant if they remain absent for forty consecutive days without leave of the House.,68,"(37, 37)","(37,)","(37, 26)","(37, 26, 51)","(37, 26, 51, 21)","(37, 26, 51, 21, 168)"
129,When can an elected person start participating in the activities of a House?,An elected person can start participating in the activities of a House only after making an oath before the House in the form set out in the Third Schedule.,69,"(37, 37)","(37,)","(37, 36)","(37, 36, 19)","(37, 36, 19, 129)","(37, 36, 19, 129, 27)"
130,Are members of the Parliament protected from legal proceedings for their speeches and votes within the Parliament?,"Yes, members are protected from any legal proceedings in any court for anything said or any vote given by them in the Parliament.",70,"(37, 38)","(37,)","(37, 38)","(37, 38, 150)","(37, 38, 150, 35)","(37, 38, 150, 35, 31)"
131,Can a person be punished for not providing evidence or documents to a parliamentary committee?,"Yes, a person can be punished by a House for refusing to give evidence or produce documents when required by the chairman of the committee, and a court may also be empowered to punish such a person.",70,"(37, 38)","(38,)","(38, 123)","(38, 123, 3)","(38, 123, 3, 124)","(38, 123, 3, 124, 94)"
132,Do the privileges and immunities of the Parliament members apply to others who participate in the proceedings?,"Yes, the provisions apply to persons who have the right to speak in and take part in the proceedings of the Parliament, just as they apply to members.",70,"(37, 38)","(38,)","(38, 37)","(38, 37, 150)","(38, 37, 150, 124)","(38, 37, 150, 124, 28)"
133,Can a House continue to function if there are vacancies in its membership?,"Yes, a House can continue to function and act notwithstanding any vacancy in its membership.",71,"(38, 39)","(37,)","(37, 170)","(37, 170, 27)","(37, 170, 27, 168)","(37, 170, 27, 168, 26)"
134,What happens if someone who is not entitled participates in the proceedings of a House?,"The proceedings in the House shall not be invalid on the ground that some persons who were not entitled to do so sat, voted, or otherwise took part in the proceedings.",71,"(38, 39)","(38,)","(38, 37)","(38, 37, 39)","(38, 37, 39, 28)","(38, 37, 39, 28, 27)"
135,"Can members of Parliament discuss the actions of Supreme Court or High Court judges while they are performing their duties?
","No, members of Parliament cannot discuss the conduct of any Judge of the Supreme Court or of a High Court in the discharge of their duties.",72,"(39, 39)","(120,)","(120, 93)","(120, 93, 96)","(120, 93, 96, 165)","(120, 93, 96, 165, 101)"
